KNN_algorithm,KNN_leaf_size,KNN_mean_test_score,KNN_mean_train_score,KNN_metric,KNN_n_jobs,KNN_n_neighbors,KNN_p,KNN_rank_test_score,KNN_split0_test_score,KNN_split0_train_score,KNN_split1_test_score,KNN_split1_train_score,KNN_split2_test_score,KNN_split2_train_score,KNN_std_test_score,KNN_std_train_score,KNN_weights,RBFSVM_C,RBFSVM_cache_size,RBFSVM_coef0,RBFSVM_degree,RBFSVM_gamma,RBFSVM_kernel,RBFSVM_max_iter,RBFSVM_mean_test_score,RBFSVM_mean_train_score,RBFSVM_probability,RBFSVM_rank_test_score,RBFSVM_shrinking,RBFSVM_split0_test_score,RBFSVM_split0_train_score,RBFSVM_split1_test_score,RBFSVM_split1_train_score,RBFSVM_split2_test_score,RBFSVM_split2_train_score,RBFSVM_std_test_score,RBFSVM_std_train_score,RBFSVM_tol,RBFSVM_verbose,RandomForest_RandomForestClassifier_bootstrap,RandomForest_RandomForestClassifier_criterion,RandomForest_RandomForestClassifier_max_features,RandomForest_RandomForestClassifier_min_impurity_split,RandomForest_RandomForestClassifier_min_samples_leaf,RandomForest_RandomForestClassifier_min_samples_split,RandomForest_RandomForestClassifier_min_weight_fraction_leaf,RandomForest_RandomForestClassifier_n_estimators,RandomForest_RandomForestClassifier_n_jobs,RandomForest_RandomForestClassifier_oob_score,RandomForest_RandomForestClassifier_verbose,RandomForest_RandomForestClassifier_warm_start,accuracy_KNN,accuracy_RBFSVM,accuracy_RandomForest,network_extra_noise,network_sample_size,network_sine_corruption,network_sine_periods,network_test_size,network_xor_corruption,network_xor_dim,network_xor_var
auto,30,0.749142857143,0.815000869876,minkowski,1,10,2,2,0.764353041988,0.815687955422,0.739502999143,0.820402914702,0.743567753002,0.808911739503,0.0108847486711,0.0047163433417,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.01,rbf,-1,0.65,0.652999700165,False,8,True,0.646958011997,0.647663951993,0.648671808055,0.656236605229,0.654373927959,0.655098543273,0.00316971325955,0.00380144294281,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.1,rbf,-1,0.715714285714,0.736283907861,False,5,True,0.713796058269,0.720960137162,0.721508140531,0.738962708958,0.711835334477,0.748928877464,0.00417519090964,0.0115742412277,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,1,rbf,-1,0.609714285714,0.662572741142,False,9,True,0.602399314482,0.6588084012,0.612682090831,0.675525075011,0.614065180103,0.653384747215,0.00520429120334,0.00942253398765,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.01,rbf,-1,0.675142857143,0.683998926031,False,7,True,0.677806341045,0.673810544363,0.687232219366,0.686669524218,0.660377358491,0.691516709512,0.011123338496,0.00747110621302,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.1,rbf,-1,0.796,0.836571340281,False,4,True,0.813196229649,0.833690527218,0.79177377892,0.83883411916,0.783018867925,0.837189374464,0.0126764131255,0.00214485573793,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,1,rbf,-1,0.874285714286,0.994714326309,False,3,True,0.869751499572,0.994856408058,0.876606683805,0.994856408058,0.876500857633,0.994430162811,0.00320715200004,0.000200933936717,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.01,rbf,-1,0.711428571429,0.728142029838,False,6,True,0.720651242502,0.723531933133,0.713796058269,0.726960994428,0.699828473413,0.733933161954,0.00866360087803,0.00432762627194,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.1,rbf,-1,0.933714285714,0.973428386697,False,1,True,0.942587832048,0.972567509644,0.924592973436,0.972996142306,0.933962264151,0.974721508141,0.00734950992524,0.000930968596178,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,1,rbf,-1,0.894285714286,1.0,False,2,True,0.892887746358,1.0,0.904027420737,1.0,0.885934819897,1.0,0.00745163111756,0.0,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
